code,name,kind,address,district,lat,lng,hours,services,distance_km,owner_phone,capacity_per_hour
DC-MYDINH,Đảo Chè Mỹ Đình,official-store,"Số 18 Nguyễn Hoàng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.028741,105.777906,06:30–22:00,Giao nhanh|Đơn nhóm|Gói tháng,0.8,,
DC-XUANTHUY,Đảo Chè Xuân Thủy,official-store,"165 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Cầu Giấy,21.036368,105.783788,06:30–22:00,Giao nhanh|Đơn nhóm,4.5,,
DC-HOTUNGMAU,An Coffee · Hồ Tùng Mậu,partner-counter,"92 Hồ Tùng Mậu, Mai Dịch, Cầu Giấy, Hà Nội",Cầu Giấy,21.040297,105.774621,09:00–21:00,Coffee|Đảo Chè,4.9,,
DC-NHON,Đảo Chè Nhổn,official-store,"218 Nhổn, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,21.048230,105.741988,07:00–22:30,Giao nhanh|Đơn nhóm,5.8,,
DC-XUANPHUONG,Hub Xuân Phương,official-store,"67 Trịnh Văn Bô, Xuân Phương, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.040954,105.750220,06:30–22:00,Giao nhanh|Đơn nhóm,6.1,,
DC-HADONG,Đảo Chè Hà Đông,official-store,"86 Trần Phú, Mộ Lao, Hà Đông, Hà Nội",Hà Đông,20.981853,105.785055,07:00–22:30,Giao nhanh|Đơn nhóm,6.7,,
DC-VANQUAN,Góc Nhỏ Café · Văn Quán,partner-counter,"B14 Văn Quán, Hà Đông, Hà Nội",Hà Đông,20.978980,105.790675,07:00–22:30,Coffee|Đảo Chè,7.2,,
DC-MYDINHSTADIUM,Express Sân vận động Mỹ Đình,official-store,"Đường Lê Đức Thọ, Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.020995,105.763398,06:30–22:00,Giao nhanh|Đơn nhóm,3.5,,
DC-VINCOMSKYLAKE,Skylake Pantry · Phạm Hùng,distribution-partner,"Vincom Skylake, 50 Phạm Hùng, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.020659,105.780811,07:00–22:30,Đối tác xác minh|Đặt tại điểm,2.3,,
DC-ROYALCITY,Đảo Chè Royal City,official-store,"72A Nguyễn Trãi, Thanh Xuân, Hà Nội",Thanh Xuân,21.003224,105.815646,07:00–22:30,Giao nhanh|Đơn nhóm,7.8,,
DC-THANHXUAN,Bếp Việt · Thanh Xuân,distribution-partner,"118 Nguyễn Tuân, Thanh Xuân, Hà Nội",Thanh Xuân,20.994747,105.805563,09:00–21:00,Đối tác xác minh|Đặt tại điểm,7.4,,
DC-LANGHA,Mầm Coffee · Láng Hạ,partner-counter,"61 Láng Hạ, Đống Đa, Hà Nội",Đống Đa,21.013159,105.815442,07:00–22:30,Coffee|Đảo Chè,7.9,,
DC-GIANGVO,Đảo Chè Giảng Võ,official-store,"148 Giảng Võ, Ba Đình, Hà Nội",Ba Đình,21.026452,105.821512,07:00–22:30,Giao nhanh|Đơn nhóm,8.5,,
DC-LINHDAM,Lá Nếp · Linh Đàm,partner-counter,"HH2A Linh Đàm, Hoàng Mai, Hà Nội",Hoàng Mai,20.964165,105.825246,06:30–22:00,Coffee|Đảo Chè,10.8,,
DC-CAUDIEN,Đảo Chè Cầu Diễn,official-store,"106 Cầu Diễn, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,21.041312,105.760023,07:00–22:30,Giao nhanh|Đơn nhóm,5.3,,
DC-TAYMO,Nhà Mình Café · Tây Mỗ,partner-counter,"33 Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.005572,105.747574,07:00–22:30,Coffee|Đảo Chè,6.9,,
DC-SMARTCITY,Đảo Chè Smart City,official-store,"S2.05 Vinhomes Smart City, Tây Mỗ, Hà Nội",,21.006002,105.735499,06:30–22:00,Giao nhanh|Đơn nhóm,8.1,,
DC-MOLAO,Nếp Mới · Mộ Lao,partner-counter,"KĐT Mộ Lao, Hà Đông, Hà Nội",Hà Đông,20.984979,105.793501,07:00–22:30,Coffee|Đảo Chè,7.1,,
DC-VANPHUC,Đảo Chè Vạn Phúc,official-store,"48 Vạn Phúc, Hà Đông, Hà Nội",Hà Đông,20.980983,105.770118,09:00–21:00,Giao nhanh|Đơn nhóm,8.2,,
DC-NGOCKHANH,Trạm Xanh · Ngọc Khánh,distribution-partner,"21 Phạm Huy Thông, Ba Đình, Hà Nội",Ba Đình,21.030029,105.818498,06:30–22:00,Đối tác xác minh|Đặt tại điểm,8.2,,
DC-DUONGBUOI,Đảo Chè Bưởi,official-store,"238 đường Bưởi, Ba Đình, Hà Nội",Ba Đình,21.044418,105.812751,07:00–22:30,Giao nhanh|Đơn nhóm,8.6,,
DC-LACLONGQUAN,Mây Hồ Tây · Lạc Long Quân,partner-counter,"287 Lạc Long Quân, Tây Hồ, Hà Nội",Tây Hồ,21.062365,105.810012,07:00–22:30,Coffee|Đảo Chè,10.2,,
DC-LONGBIEN,Đảo Chè Long Biên,official-store,"56 Nguyễn Văn Cừ, Long Biên, Hà Nội",Long Biên,21.041002,105.872019,06:30–22:00,Giao nhanh|Đơn nhóm,15.4,,
DC-GIALAM,Phố Nhỏ Café · Gia Lâm,partner-counter,"102 Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội",Gia Lâm,21.019574,105.938437,07:00–22:30,Coffee|Đảo Chè,21.6,,
DC-DONGANH,Đảo Chè Đông Anh,official-store,"68 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội",Đông Anh,21.136858,105.847125,07:00–22:30,Giao nhanh|Đơn nhóm,23.7,,
DC-HOAIDUC,Đảo Chè Hoài Đức,distribution-partner,"KĐT Geleximco, An Khánh, Hoài Đức, Hà Nội",Hoài Đức,20.993288,105.706735,06:30–22:00,Đối tác xác minh|Đặt tại điểm,13.8,,
